network,campaign,adgroup,small_cohort,ostype,nb_device_id,per_fb_homescreen,per_fb_search,per_fb_view_listing,per_fb_view_product,per_add_to_cart,per_guest_sale,per_sale,per_ios,per_nc
Mobvista SDK,ID_Traffic_Placement,441_0d399929b9a355b7,2016-04-19,android,210,0.5761904762,0.247619047619048,0.366666666666667,0.323809523809524,0.0571428571428571,0.0142857142857143,0.00952380952380952,0,0.038095238
Mobvista SDK,ID_Traffic_Placement,441_6ae2e6c404abc284,2016-04-19,android,2220,0.6252252252,0.313063063063063,0.371171171171171,0.381531531531532,0.0725225225225225,0.0189189189189189,0.0117117117117117,0,0.047747748
Mobvista SDK,ID_Traffic_Placement,441_93960d5fb44e9016,2016-04-19,android,469,0.5437100213,0.170575692963753,0.189765458422175,0.200426439232409,0.0277185501066098,0.00426439232409382,0,0,0.034115139
Mobvista SDK,ID_Traffic_Placement,441_98be175f18ff1211,2016-04-19,android,1756,0.6292710706,0.345671981776765,0.328587699316629,0.387813211845102,0.0700455580865604,0.0130979498861048,0.0142369020501139,0,0.032460137
Mobvista SDK,ID_Traffic_Placement,441_dcacc2b04bdf831e,2016-04-19,android,498,0.983935743,0.475903614457831,0.528112449799197,0.56425702811245,0.104417670682731,0.0200803212851406,0.0120481927710843,0,0.042168675
Taptica,Traffic_Placement,1381228,2016-04-19,android,494,0.6578947368,0.325910931174089,0.336032388663968,0.380566801619433,0.0850202429149798,0.0161943319838057,0.0182186234817814,0,0.038461538
Taptica,Traffic_Placement,1476585,2016-04-19,android,908,0.8711453744,0.26431718061674,0.351321585903084,0.332599118942731,0.0638766519823789,0.0165198237885463,0.00881057268722467,0,0.033039648
Taptica,Traffic_Placement,861520,2016-04-19,android,1037,0.8177434908,0.224686595949855,0.389585342333655,0.329797492767599,0.0810028929604629,0.0135004821600771,0.0038572806171649,0,0.023143684
Organic,0,0,2016-04-22,android,20230,0.9985664854,0.526297577854671,0.534354918437963,0.620662382600099,0.109589718240237,0.0264458724666337,0.0228373702422145,0,0.04760257
Organic,0,0,2016-04-22,ios,4810,1,0.406237006237006,0.523700623700624,0.411850311850312,0.115800415800416,0.0182952182952183,0.0191268191268191,1,0.037422037
IronSource,App_Generic,0,2016-04-22,android,619,0.6413570275,0.189014539579968,0.302100161550889,0.295638126009693,0.0387722132471729,0.012924071082391,0.00484652665589661,0,0.037156704
Mobvista,App_Generic,192_59eb5dd36914c29b,2016-04-22,android,200,0.92,0.3,0.33,0.395,0.06,0.01,0.005,0,0.03
Mobvista,App_Generic,333_56468d5607a5aaf1,2016-04-22,android,295,0.6169491525,0.24406779661017,0.349152542372881,0.322033898305085,0.088135593220339,0.00338983050847458,0,0,0.027118644
Mobvista,App_Generic,441_0d399929b9a355b7,2016-04-22,android,247,0.5141700405,0.230769230769231,0.327935222672065,0.315789473684211,0.0526315789473684,0.0364372469635627,0.00809716599190283,0,0.076923077
Mobvista,App_Generic,441_6ae2e6c404abc284,2016-04-22,android,1409,0,0,0,0,0,0,0,0,0.027679205
Mobvista,App_Generic,441_9216ab2940fd8b81,2016-04-22,ios,1010,0.5821782178,0.278217821782178,0.401980198019802,0.299009900990099,0.1,0.0217821782178218,0.0128712871287129,1,0.056435644
Mobvista,App_Generic,441_98be175f18ff1211,2016-04-22,android,2147,0.4788076386,0.250582207731719,0.251979506287843,0.290638099673964,0.047973917093619,0.0121099208197485,0.00931532370749884,0,0.036795529
Mobvista,App_Generic,441_db31e0a485a2b6c7,2016-04-22,ios,251,0.5657370518,0.302788844621514,0.398406374501992,0.278884462151394,0.099601593625498,0.0159362549800797,0.0119521912350598,1,0.071713147
Mobvista,App_Generic,6404_895d69c5ed316358,2016-04-22,android,670,0.9,0.307462686567164,0.471641791044776,0.397014925373134,0.156716417910448,0.0104477611940299,0.00597014925373134,0,0.019402985
Mobvista,App_Generic,6404_a9732767cb7d5f56,2016-04-22,android,628,0.928343949,0.323248407643312,0.5,0.374203821656051,0.125796178343949,0.0159235668789809,0.0111464968152866,0,0.02866242
Mobvista,App_Generic,6404_abdfab4488f20142,2016-04-22,android,709,0.9069111425,0.328631875881523,0.517630465444288,0.38787023977433,0.141043723554302,0.00987306064880113,0.00846262341325811,0,0.023977433
Mobvista,App_Generic,6404_e165ad5ea8e9c41c,2016-04-22,android,643,0.9097978227,0.304821150855365,0.505443234836703,0.40746500777605,0.119751166407465,0.00777604976671851,0.0046656298600311,0,0.01244168
Mobvista,App_Generic,6404_eabf176351ca5098,2016-04-22,android,626,0.9121405751,0.335463258785943,0.480830670926518,0.394568690095847,0.135782747603834,0.0191693290734824,0.00798722044728434,0,0.031948882
Mobvista,App_Generic,6473_2a706a36d59e55d6,2016-04-22,android,211,0.9763033175,0.161137440758294,0.436018957345972,0.364928909952607,0.042654028436019,0.004739336492891,0.004739336492891,0,0.014218009
Mobvista,App_Generic,6473_934dc4883b2d9910,2016-04-22,android,208,0.9807692308,0.182692307692308,0.524038461538462,0.379807692307692,0.0480769230769231,0.00961538461538462,0,0,0.024038462
Mobvista,App_Generic,6473_f4cdc16bc778d6e5,2016-04-22,android,217,0.9861751152,0.170506912442396,0.566820276497696,0.387096774193548,0.0645161290322581,0.0184331797235023,0,0,0.032258065
Mobvista,App_Generic,6998_4b6d72dbb269b561,2016-04-22,android,228,0.8552631579,0.192982456140351,0.429824561403509,0.355263157894737,0.0526315789473684,0.0087719298245614,0.0043859649122807,0,0.01754386
Mobvista,App_Generic,6998_6da0fdc213913622,2016-04-22,android,212,0.858490566,0.235849056603774,0.443396226415094,0.344339622641509,0.0471698113207547,0.0235849056603774,0,0,0.04245283
Mobvista,App_Generic,6998_b907c79431f2544f,2016-04-22,android,240,0.8541666667,0.204166666666667,0.4,0.25,0.0416666666666667,0.0125,0,0,0.020833333
Mobvista,App_Generic,6998_cd91418538c6d901,2016-04-22,android,253,0.8577075099,0.158102766798419,0.379446640316206,0.300395256916996,0.0395256916996047,0.00395256916996047,0,0,0.011857708
Mobvista,App_Generic,6998_d8274e53c12d5975,2016-04-22,android,242,0.8347107438,0.148760330578512,0.429752066115702,0.309917355371901,0.0495867768595041,0.012396694214876,0.012396694214876,0,0.02892562
Mobvista,App_Generic,7363_45c48cce2e2d7fbd,2016-04-22,android,431,0.9373549884,0.22969837587007,0.496519721577726,0.368909512761021,0.037122969837587,0.00696055684454756,0.00464037122969838,0,0.016241299
Mobvista,App_Generic,8277,2016-04-22,android,1234,0.989465154,0.201782820097245,0.482171799027553,0.340356564019449,0.0510534846029173,0.00891410048622366,0.00243111831442464,0,0.020259319
Mobvista,App_Generic,8342_1ba3aeef9b48a023,2016-04-22,android,201,0.3980099502,0.0696517412935323,0.189054726368159,0.119402985074627,0.00995024875621891,0.00497512437810945,0,0,0.029850746
Mobvista,App_Generic,8342_b03529f90969b63a,2016-04-22,android,202,0.3613861386,0.0742574257425743,0.143564356435644,0.113861386138614,0.0099009900990099,0.00495049504950495,0,0,0.014851485
InMobi,App_Native,1072,2016-04-22,android,491,0.9938900204,0.307535641547862,0.336048879837067,0.362525458248472,0.065173116089613,0.00814663951120163,0.00407331975560081,0,0.026476578
InMobi,App_Native,1090,2016-04-22,android,2245,0.961247216,0.316703786191537,0.471269487750557,0.443652561247216,0.0619153674832962,0.0138084632516704,0.00400890868596882,0,0.025389755
